Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
HRV,4105268,19.81560787,92.7,33.55207459,6.03,11,58,27.9,37,80.5,0.02,3059,114.5,0.020935024,64.3,1.464,1652.122294,6.38828759,4.3,48,0.10511626,34.69689441,91.46716257,99.272591,2.178475169,9,32.2,6.95783489,1489.062,68424.035,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,5.54,78.49,1.25,10.22,2.34
HTI,11402533,23.54804717,4.34,121.3638101,8.86,6.3,48,7.0999999,12.7,55.4,3.5,2091,44.32,19.23763674,51.1,2.973,130.8486433,1.55951642,NaN,20,-0.15751432,46.01675053,79.86723748,60.68935,0.590256953,0,40.9,6.540483644,22.1,1122.821,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,0.7,64,0.92,NaN,NaN
HUN,9660350,24.57068163,100,39.20837155,6.37,11,59,26.6,30.6,81.4,0.05,3037,153.51,0.14145149,65.4,1.361,1826.675065,4.88308191,3.8,46,0.53216553,46.69851879,89.36062063,99.380882,1.089712178,10,30.9,7.226473871,2287.495,71606.412,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,7.02,76.88,0.84,26.26,10.41
IDN,273523621,16.74598218,58.37,66.18593255,7.53,13,45,30.200001,39.4,8.1,3.01,2777,55.34,14.4436634,28.3,2.389,299.4051392,1.0755363,4.7,38,0.26359722,72.54421597,83.2150104,95.437683,-0.433937111,9,39.5,7.142168145,153.468,5639.425,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,1.04,71.72,0.99,3.3,1.62
IMN,85032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.4,NaN,47.85,18.05
IND,1380004385,75.80079116,41.04,131.9940186,12.52,67,60,12.6,11.5,15.1,5.75,2459,56.84,38.56375064,19.3,2.352,267.408625,1.40723762,4.2,41,-0.20398138,77.15111196,92.4980721,72.225304,-1.394107965,9,35.2,6.627177736,120.418,9276.626,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,1.42,5.5,0.81
IRL,4937796,9.168633218,100,14.66747096,3.61,6.1,43,24.299999,24.3,80.9,0,3600,141.38,0.022161353,63.6,1.989,3801.06423,5.14148408,NaN,73,NaN,67.14663918,93.31656514,99,2.718400896,10,31.9,8.067158288,957.31,48383.327,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,2.96,82.3,0.88,13.38,5.5
IRN,83992953,48.95476643,98.49,46.15391907,7.66,34,62,12.1,11,4.2,0.12,3094,77.69,0.207872994,60.9,1.686,1081.671505,2.84080215,NaN,28,0.30046999,66.51466643,86.72864331,87.172531,-1.377935842,-7,38.8,6.020622191,756.087,23375.699,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,1.3,0.15,NaN
IRQ,40222503,73.25872705,97.63,42.67741934,6.2,29,69,16.5,NaN,5.4,0.28,2545,69.39,0.438167487,59.8,4.427,667.0073529,3.33814899,4.1,18,0.28961954,29.39124246,63.50024342,79.721764,-2.388372091,6,29.5,5.407654263,361.365,22059.567,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NaN,NaN,1.4,70.6,1.09,0.26,NaN
ISL,341250,7.29839004,100,9.946781471,2.67,4.2,50,14.4,14.7,67.9,0.01,3380,166.84,0.014827603,61.5,1.946,3881.703732,7.17970594,NaN,76,NaN,58.42020747,96.5535127,99,4.937323598,10,25.6,7.212059862,84.982,18288.645,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.96,14.73,7.13
